2 -CH3 0.0141 -0.0012 65
3 -eH2- 0.0189 0 56
4 >CH- 0.0164 0.0020 41
5 >C< 0.0067 0.0043 27
6 =CH2 0.0113 -0.0028 56
7 =CH- 0.0129 -0.0006 46
8 =C< 0.0117 0.0011 38
NAN =C= 0.0026 0.0028 36
9 ""CH 0.0027 -0.0008 46
10 aC- 0.0020 0.0016 37
11 -CH2- 0.0100 0.0025 48
12 >CH- 0.0122 0.0004 38
14 >C< 0.0042 0.0061 27
13 =CH- 0.0082 0.0011 41
16 =C< 0.0143 0.0008 32
78 -F 0.011] -0.0057 27
72 -CI 0.0105 -0.0049 58
86 -Br 0.0133 0.0057 71
89 -I 0.0068 -0.0034 97
21 -0H 0.0741 0.0112 28
27 -0H 0.0240 0.0184 -25
29 -0- 0.0168 0.0015 18
30 -0- 0.0098 0.0048 13
33 >C=O 0.0380 0.0031 62
34 >C=O 0.0284 0.0028 55
32 O=CH- 0.0379 0.0030 82
36 -eOOH 0.0791 0.0077 89
39 -e00- 0.0481 0.0005 82
NAN =0 0.0143 0.0101 36
55 -NH2 0.0243 0.0109 38
56 >NH 0.0295 0.0077 35
68 >NH 0.0130 0.0114 29
57 >N- 0.0169 0.0074 9
NAN -N= 0.0255 -0.0099
69 -N= 0.0085 0.0076 34
NAN =NH
70 -CN 0.0496 -0.0101 91
45 -N02 0.0437 0.0064 91
49 -SH 0.0031 0.0084 63
48 -5- 0.0119 0.0049 54
48 -5- 0.0019 0.0051 38
